chr,start,mappability,gc_content,end,LL_RS2L_G1_1,LL_RS2L_G1_2,LL_RS2L_G1_3
chr1,0,0.508436,0.5983,10000,492,729,543
chr1,10000,0.984767,0.5778,20000,1420,2270,1952
chr1,20000,1,0.5814,30000,824,1434,908
chr1,30000,1,0.6014,40000,864,1438,1019
chr1,40000,1,0.5778,50000,763,1364,827
chr1,50000,1,0.6211,60000,885,1342,944
chr1,60000,0.98355,0.6259,70000,825,1192,847
chr1,70000,0.724125,0.6427,80000,595,845,605
chr1,80000,1,0.5747,90000,722,1251,1052
chr1,90000,0.8511,0.605,100000,678,964,998
chr1,100000,0.93285,0.6148,110000,591,982,1135
chr1,110000,0.902319,0.6485,120000,851,1117,1376
chr1,120000,0.864,0.6088,130000,584,827,1039
chr1,130000,0.996483,0.5891,140000,953,1376,1623
chr1,140000,0.990793,0.591,150000,809,1280,1273
chr1,150000,1,0.5947,160000,771,1350,1257
chr1,160000,0.9889,0.6121,170000,886,1376,1499
chr1,170000,0.99905,0.5811,180000,713,1209,1144
chr1,180000,1,0.6261,190000,1062,1520,1611
chr1,190000,0.989775,0.6214,200000,877,1451,1488
chr1,200000,1,0.605,210000,719,1147,1226
chr1,210000,1,0.5929,220000,796,1306,1246
chr1,220000,0.98075,0.6217,230000,993,1532,1380
chr1,230000,1,0.6766,240000,1386,1956,2254
chr1,240000,0.989707,0.6409,250000,1020,1616,1697
chr1,250000,0.89177,0.623,260000,789,1416,1330
chr1,260000,0.9281,0.609,270000,813,1313,1341
chr1,270000,0.99675,0.6144,280000,882,1443,1405
chr1,280000,0.95035,0.64,290000,908,1392,1501
chr1,290000,0.934258,0.6339,300000,990,1412,1821
chr1,300000,1,0.6422,310000,1170,1693,1876
chr1,310000,0.975782,0.6981,320000,1407,1889,2415
chr1,320000,0.995333,0.6231,330000,1048,1655,1769
chr1,330000,1,0.6279,340000,1072,1604,1686
chr1,340000,1,0.6362,350000,1156,1725,1875
chr1,350000,1,0.6511,360000,1225,1814,2003
chr1,360000,0.998287,0.6625,370000,1224,1754,1848
chr1,370000,1,0.6523,380000,1232,1838,1904
chr1,380000,0.895473,0.6053,390000,811,1251,1232
chr1,390000,0.741807,0.6282,400000,818,1077,1517
chr1,400000,0.992224,0.6477,410000,1133,1633,1819
chr1,410000,0.940166,0.6674,420000,1019,1512,1697
chr1,420000,1,0.6379,430000,1079,1646,1720
chr1,430000,0.942267,0.6053,440000,850,1475,1437
chr1,440000,1,0.659,450000,1162,1776,1978
chr1,450000,1,0.5974,460000,787,1281,1291
chr1,460000,0.991369,0.6064,470000,913,1526,1556
chr1,470000,1,0.6584,480000,1253,1821,1921
chr1,480000,1,0.6038,490000,909,1496,1375
chr1,490000,0.955239,0.672,500000,1280,1865,2144
chr1,500000,0.865999,0.6812,510000,1212,1609,2121
chr1,510000,0.973101,0.6326,520000,1000,1662,1591
chr1,520000,1,0.6717,530000,1309,1856,2081
chr1,530000,0.991798,0.6324,540000,1037,1520,1734
chr1,540000,0.9922,0.6796,550000,1329,1964,2394
chr1,550000,0.97196,0.6648,560000,1224,1832,1837
chr1,560000,0.99555,0.6183,570000,885,1368,1508
chr1,570000,0.983498,0.6575,580000,1137,1632,1864
chr1,580000,1,0.6092,590000,938,1565,1616
chr1,590000,0.961541,0.6631,600000,1060,1693,1825
chr1,600000,0.9792,0.703,610000,1409,1917,2349
chr1,610000,0.981683,0.6787,620000,1280,1877,2010
chr1,620000,0.851458,0.6646,630000,1210,1690,1923
chr1,630000,0.990393,0.6525,640000,1712,2185,2490
chr1,640000,0.848718,0.6254,650000,1203,1540,1911
chr1,650000,0.93554,0.6453,660000,1467,2145,2264
chr1,660000,0.99955,0.6452,670000,1672,2265,2232
chr1,670000,1,0.6546,680000,1788,2482,2578
chr1,680000,0.999412,0.6315,690000,1497,2113,2141
chr1,690000,0.997111,0.6719,700000,1868,2441,2616
chr1,700000,0.989651,0.6536,710000,1618,2321,2293
chr1,710000,0.867682,0.7047,720000,1827,2182,2889
chr1,720000,1,0.6803,730000,1958,2463,2650
chr1,730000,0.9979,0.6555,740000,1802,2389,2550
chr1,740000,0.981377,0.6116,750000,1491,2041,2089
chr1,750000,0.9919,0.6115,760000,1453,2071,2107
chr1,760000,0.991667,0.6719,770000,1819,2301,2636
chr1,770000,0.998481,0.6818,780000,2001,2683,2967
chr1,780000,0.997001,0.6285,790000,1594,2123,2295
chr1,790000,0.99405,0.6257,800000,1571,2116,2285
chr1,800000,1,0.6238,810000,1448,1956,2033
chr1,810000,0.995036,0.6548,820000,1703,2293,2525
chr1,820000,0.998433,0.6181,830000,1460,2065,2150
chr1,830000,1,0.6321,840000,1531,2112,2295
chr1,840000,0.907687,0.6526,850000,1483,1894,2111
chr1,850000,0.97805,0.6535,860000,1558,2110,2287
chr1,860000,1,0.6372,870000,1676,2178,2338
chr1,870000,0.923621,0.6453,880000,1553,2035,2354
chr1,880000,1,0.6312,890000,1673,2161,2161
chr1,890000,0.992242,0.6748,900000,1840,2579,2908
chr1,900000,0.995025,0.6505,910000,1618,2110,2439
chr1,910000,0.9984,0.6481,920000,1669,2145,2304
chr1,920000,0.858475,0.6744,930000,1536,1868,2259
chr1,930000,0.845607,0.6393,940000,1156,1672,1655
chr1,940000,0.759083,0.5637,950000,699,896,1028
chr1,950000,0.983217,0.636,960000,1436,1893,2067
chr1,960000,0.9271,0.6388,970000,1161,1476,1740
chr1,970000,1,0.6234,980000,996,1288,1556
chr1,980000,1,0.637,990000,1561,2126,2158
chr1,990000,0.994322,0.659,1000000,1702,2233,2477
chr1,1000000,0.920436,0.6496,1010000,1400,1915,2192
chr1,1010000,1,0.5843,1020000,968,1456,1463
chr1,1020000,0.99865,0.6384,1030000,1503,1962,2106
chr1,1030000,1,0.6216,1040000,1549,2324,2278
chr1,1040000,1,0.6074,1050000,1296,1856,1770
chr1,1050000,1,0.6315,1060000,1546,2050,2134
chr1,1060000,0.932077,0.6274,1070000,1372,1870,1986
chr1,1070000,0.98735,0.691,1080000,2077,2582,2934
chr1,1080000,0.99695,0.6476,1090000,1573,2086,2342
chr1,1090000,0.923916,0.6385,1100000,1367,1737,2040
chr1,1100000,0.92915,0.6334,1110000,1510,1854,2083
chr1,1110000,0.9813,0.6749,1120000,1909,2451,2718
chr1,1120000,0.912167,0.6408,1130000,1406,1839,1953
chr1,1130000,1,0.6321,1140000,1537,1990,2149
chr1,1140000,0.9996,0.6071,1150000,1286,1799,1814
chr1,1150000,1,0.5933,1160000,1322,1890,1871
chr1,1160000,1,0.5888,1170000,1165,1573,1748
chr1,1170000,0.9981,0.6067,1180000,1327,1938,1926
chr1,1180000,0.934436,0.6588,1190000,1651,2185,2468
chr1,1190000,1,0.6532,1200000,1673,2212,2361
chr1,1200000,1,0.6455,1210000,1917,2498,2540
chr1,1210000,0.953258,0.6012,1220000,1311,1768,1850
chr1,1220000,1,0.6081,1230000,1534,2104,2249
chr1,1230000,0.9935,0.637,1240000,1533,2067,2233
chr1,1240000,1,0.6615,1250000,1772,2314,2553
chr1,1250000,0.942911,0.6558,1260000,1506,1955,2308
chr1,1260000,1,0.684,1270000,2059,2747,3124
chr1,1270000,0.990182,0.6324,1280000,1456,2052,2042
chr1,1280000,0.940617,0.6567,1290000,1406,1879,2092
chr1,1290000,0.936602,0.6829,1300000,1662,2105,2621
chr1,1300000,1,0.6227,1310000,1397,1923,2040
chr1,1310000,1,0.6225,1320000,1324,1861,1940
chr1,1320000,0.99825,0.6564,1330000,1760,2432,2506
chr1,1330000,0.8855,0.6212,1340000,1245,1545,1842
chr1,1340000,1,0.6232,1350000,1505,2134,2216
chr1,1350000,0.927954,0.6921,1360000,1728,2189,2645
chr1,1360000,0.8825,0.7149,1370000,2024,2241,2828
chr1,1370000,0.992842,0.6597,1380000,1804,2320,2551
chr1,1380000,0.9903,0.6592,1390000,1828,2317,2663
chr1,1390000,0.9915,0.6419,1400000,1649,2126,2486
chr1,1400000,0.993683,0.6275,1410000,1486,2017,2032
chr1,1410000,0.9597,0.6,1420000,1246,1857,1742
chr1,1420000,0.993782,0.6548,1430000,1700,2314,2437
chr1,1430000,0.330132,0.5984,1440000,327,389,576
chr1,1440000,1,0.6495,1450000,1795,2359,2318
chr1,1450000,1,0.609,1460000,1327,1968,1846
chr1,1460000,0.618885,0.6332,1470000,739,840,1252
chr1,1470000,0.835613,0.6111,1480000,1225,1565,1827
chr1,1480000,0.989705,0.5997,1490000,1180,1675,1768
chr1,1490000,1,0.5914,1500000,1039,1547,1505
chr1,1500000,1,0.6151,1510000,1428,1959,1911
