chr,start,mappability,gc_content,end,NAT_X_SYN_004,NAT_X_SYN_042,NAT_X_SYN_044,NAT_X_SYN_051,NAT_X_SYN_054
1,0,0.998692,0.64373,100000,4445,4699,4729,4454,3429
1,100000,1,0.62345,200000,4225,4791,4707,4115,3377
1,200000,0.998639,0.62097,300000,4488,4863,4952,4395,3908
1,300000,0.999675,0.59709,400000,4550,5072,4575,4284,3459
1,400000,0.998529,0.63318,500000,3985,4490,4434,4037,3390
1,500000,0.998761,0.63825,600000,4310,4285,4731,4021,3285
1,600000,0.99947,0.64127,700000,4149,4989,5136,4594,3737
1,700000,0.996095,0.62669,800000,4085,5859,6357,5494,4842
1,800000,0.997258,0.61498,900000,4189,4765,4787,4142,3493
1,900000,1,0.63594,1000000,4090,4403,4602,4019,3259
1,1000000,0.999065,0.61612,1100000,4230,4852,4601,4183,3455
1,1100000,0.997698,0.64258,1200000,4251,4707,4563,4027,3331
1,1200000,1,0.63634,1300000,3963,4642,4467,4085,3212
1,1300000,0.999955,0.62112,1400000,4211,4834,4749,4232,3541
1,1400000,0.983443,0.62753,1500000,4178,4768,4482,4096,3540
1,1500000,0.9834,0.64574,1600000,4001,4371,4512,4043,3368
1,1600000,0.99884,0.62369,1700000,4156,4712,4616,4464,3480
1,1700000,1,0.62742,1800000,4088,4665,4579,4083,3212
1,1800000,0.999745,0.63651,1900000,4131,4606,4432,4100,3291
1,1900000,0.998837,0.62542,2000000,4398,4970,4773,4388,3575
1,2000000,1,0.61111,2100000,4413,5368,4878,4303,3822
1,2100000,0.99992,0.62112,2200000,4517,4936,5070,4339,3914
1,2200000,0.989658,0.61482,2300000,4050,3429,4683,4018,3497
1,2300000,0.998395,0.6282,2400000,4184,3345,4630,4131,3511
1,2400000,0.978835,0.61545,2500000,4037,3401,4436,4026,3352
1,2500000,0.990613,0.62493,2600000,4631,3652,4939,4179,3659
1,2600000,1,0.63111,2700000,4471,3809,5019,4539,3756
1,2700000,0.908891,0.62254,2800000,4059,3642,4555,4161,3552
1,2800000,0.995622,0.63732,2900000,4455,3713,4829,4249,3612
1,2900000,0.99959,0.62499,3000000,4648,3601,5102,4262,3886
1,3000000,0.999297,0.63363,3100000,4311,3377,4650,4111,3436
1,3100000,0.99931,0.61556,3200000,4446,3524,4822,4193,3534
1,3200000,1,0.62852,3300000,4520,3567,4529,4336,3625
1,3300000,0.997255,0.61845,3400000,4218,3462,4662,4070,3454
1,3400000,0.999995,0.63692,3500000,4353,3450,4503,4173,3484
1,3500000,1,0.64671,3600000,4206,3342,4591,4233,3327
1,3600000,1,0.62174,3700000,4545,3835,4722,4350,3654
1,3700000,0.96511,0.63492,3800000,4118,3453,4568,3894,3448
1,3800000,0.99829,0.63553,3900000,4329,3567,5028,4332,3816
1,3900000,0.99957,0.64191,4000000,4244,3358,4751,4094,3462
1,4000000,0.999812,0.64466,4100000,4275,3484,4585,4326,3521
1,4100000,0.998472,0.64391,4200000,4084,3328,4483,4160,3342
1,4200000,0.9995,0.63839,4300000,3842,3289,4564,3782,3204
1,4300000,1,0.63517,4400000,5773,4591,5814,5441,4492
1,4400000,0.994054,0.63753,4500000,4103,3487,4494,4172,3417
1,4500000,1,0.65912,4600000,14105,13707,17307,17856,16791
1,4600000,0.992852,0.65371,4700000,4100,3121,4556,3940,3355
1,4700000,0.998147,0.64268,4800000,3816,3122,4548,3848,3237
1,4800000,1,0.63346,4900000,4499,3573,5151,4336,3795
1,4900000,1,0.64436,5000000,4478,3575,5068,4594,3747
1,5000000,0.99924,0.63732,5100000,4087,3360,4437,4306,3291
1,5100000,0.99974,0.63048,5200000,4470,3606,4727,4498,3614
1,5200000,0.99964,0.60351,5300000,4447,3872,4641,4490,3835
1,5300000,1,0.633,5400000,4023,3268,4328,4148,3395
1,5400000,0.99997,0.61232,5500000,4185,3435,4665,3836,3220
1,5500000,0.99939,0.61104,5600000,4300,3840,4977,4533,3789
1,5600000,0.988669,0.63472,5700000,4459,3537,4870,4352,3612
1,5700000,0.998039,0.61959,5800000,4285,3501,4609,4237,3487
1,5800000,0.99964,0.63719,5900000,3871,3291,4506,3903,3252
1,5900000,0.996613,0.62824,6000000,4341,3526,4762,4038,3521
1,6000000,1,0.62268,6100000,4607,3900,4833,4565,3841
1,6100000,0.965667,0.63346,6200000,4272,3495,4719,4124,3354
1,6200000,0.966406,0.6322,6300000,4194,3250,4389,4130,3474
1,6300000,0.992475,0.62759,6400000,4430,3770,4866,4514,3724
1,6400000,0.99954,0.65238,6500000,4181,3262,4754,4127,3394
1,6500000,0.989551,0.64456,6600000,4156,3257,4654,4004,3423
1,6600000,0.996659,0.64088,6700000,4023,3225,4581,3934,3243
1,6700000,0.993123,0.64064,6800000,4205,3433,4522,4181,3452
1,6800000,1,0.64083,6900000,4861,3702,5066,4397,3842
1,6900000,1,0.63532,7000000,4294,3722,4691,4239,3635
1,7000000,0.995568,0.62338,7100000,4249,3315,4706,4135,3459
1,7100000,0.99706,0.63564,7200000,4327,3348,4919,4289,3614
1,7200000,0.996975,0.63375,7300000,5506,4701,6628,6132,5373
1,7300000,0.904655,0.6405,7400000,3928,3334,4134,4185,3253
1,7400000,0.99743,0.63269,7500000,4650,3567,4773,4383,3798
1,7500000,1,0.63358,7600000,4220,3495,4385,3933,3411
1,7600000,1,0.63477,7700000,4223,3518,4705,4164,3521
1,7700000,0.98433,0.65343,7800000,8453,7479,9042,9682,8752
1,7800000,0.99978,0.6565,7900000,3970,3268,4314,3905,3388
1,7900000,0.996589,0.64752,8000000,4145,3762,4349,3830,3283
1,8000000,1,0.63918,8100000,4472,4806,4688,4216,3538
1,8100000,0.999626,0.64699,8200000,4482,4682,4603,4117,3522
1,8200000,1,0.64919,8300000,4054,4532,4316,3907,3254
1,8300000,0.999805,0.64295,8400000,4530,4590,4746,4316,3525
1,8400000,0.96995,0.64113,8500000,3692,4131,3969,3603,3005
1,8500000,0.999875,0.64614,8600000,4360,4726,4726,4150,3744
1,8600000,0.996265,0.63017,8700000,4420,5050,4657,4433,3572
1,8700000,0.784346,0.62979,8800000,3666,4605,4060,3757,2959
1,8800000,0.72504,0.63298,8900000,3890,4328,3933,3726,2983
1,8900000,1,0.63186,9000000,4140,4429,4502,3724,3274
1,9000000,0.962754,0.62124,9100000,4442,5170,4401,4342,3583
1,9100000,0.99957,0.63913,9200000,4070,4604,4601,3991,3417
1,9200000,1,0.65696,9300000,4083,4342,4572,3929,3210
1,9300000,0.99675,0.66103,9400000,4360,4367,4894,4126,3631
1,9400000,0.99059,0.63135,9500000,4113,4513,4800,4197,3467
1,9500000,0.991532,0.63016,9600000,4000,4760,4180,3993,3142
1,9600000,0.951424,0.6255,9700000,4378,4871,4600,4363,3480
1,9700000,0.999825,0.63366,9800000,4187,4819,4295,4152,3461
1,9800000,0.997727,0.66724,9900000,4262,4458,4429,4182,3522
1,9900000,1,0.65109,10000000,4313,4595,4536,4245,3424
1,10000000,0.99835,0.64456,10100000,4076,4377,4596,4054,3362
1,10100000,0.999034,0.65648,10200000,4270,4541,4412,4156,3534
1,10200000,0.97934,0.64784,10300000,4313,4401,4722,4161,3416
1,10300000,0.995387,0.6402,10400000,4210,4664,4667,4267,3529
1,10400000,1,0.63032,10500000,4015,4786,4376,4032,3431
1,10500000,0.997735,0.67485,10600000,4126,3987,4186,4104,3214
1,10600000,0.99984,0.65369,10700000,4275,4649,4562,4255,3387
1,10700000,0.999895,0.63678,10800000,4531,4985,4499,4434,3605
1,10800000,0.998855,0.63738,10900000,4221,4502,4559,4107,3355
1,10900000,0.998595,0.65445,11000000,4811,4659,5113,4380,3836
1,11000000,0.999013,0.66284,11100000,4639,4593,4624,4480,3535
1,11100000,0.981555,0.64855,11200000,4890,5420,5621,5251,4556
1,11200000,0.99973,0.65257,11300000,3790,4218,4184,3825,3076
1,11300000,1,0.65361,11400000,4049,4401,4145,3787,3170
1,11400000,0.997918,0.65163,11500000,4005,4423,4158,3983,3307
1,11500000,0.999135,0.63939,11600000,3443,3974,4012,3426,2824
1,11600000,0.991218,0.65936,11700000,3909,4022,3974,3752,3046
1,11700000,0.975144,0.6656,11800000,9959,10652,13464,12381,11530
1,11800000,0.984249,0.6655,11900000,4023,4031,4178,3726,3103
1,11900000,0.998512,0.64603,12000000,4480,4598,5100,4397,3610
1,12000000,0.984432,0.65147,12100000,4282,4675,4809,4042,3378
1,12100000,0.996075,0.63606,12200000,4581,5209,4557,4436,3743
1,12200000,0.997105,0.65484,12300000,5145,5169,5739,5182,4097
1,12300000,0.993774,0.66699,12400000,4116,4346,4653,4114,3345
1,12400000,1,0.64343,12500000,4011,4612,4410,4055,3398
1,12500000,0.995876,0.65121,12600000,4494,4483,4560,4232,3303
1,12600000,0.954012,0.6438,12700000,4075,4169,4310,3792,3254
