chr,start,mappability,gc_content,end,sample_H,sample_I,sample_J
NC_053022.1,0,0.704431,0.522723,300000,25217,23443,21141
NC_053022.1,300000,0.863432,0.5459,600000,2566,2419,2330
NC_053022.1,600000,0.802711,0.53465,900000,6084,6219,5693
NC_053022.1,900000,0.680678,0.534227,1200000,14462,14037,13445
NC_053022.1,1200000,0.763201,0.52828,1500000,11976,11638,11359
NC_053022.1,1500000,0.923818,0.535033,1800000,25741,26160,25447
NC_053022.1,1800000,0.985015,0.543277,2100000,9227,9322,8972
NC_053022.1,2100000,0.845522,0.524,2400000,20025,11408,11195
NC_053022.1,2400000,0.690723,0.54278,2700000,15751,16061,15874
NC_053022.1,2700000,0.917005,0.5285,3000000,16492,16269,15644
NC_053022.1,3000000,0.883065,0.557937,3300000,20402,20238,19768
NC_053022.1,3300000,0.884225,0.54654,3600000,12384,11968,11774
NC_053022.1,3600000,0.967027,0.547067,3900000,5009,5025,4919
NC_053022.1,3900000,0.866796,0.54121,4200000,8969,8969,8938
NC_053022.1,4200000,0.955228,0.527167,4500000,25064,27274,26268
NC_053022.1,4500000,0.918727,0.5415,4800000,10443,9729,9468
NC_053022.1,4800000,0.580098,0.550737,5100000,3886,3900,3658
NC_053022.1,5100000,0.839229,0.547847,5400000,12037,11727,11359
NC_053022.1,5400000,0.936542,0.528667,5700000,11035,11623,10715
NC_053022.1,5700000,0.894707,0.535247,6000000,16209,15504,15550
NC_053022.1,6000000,0.593205,0.549183,6300000,11265,10805,10864
NC_053022.1,6300000,0.849923,0.544513,6600000,24474,24124,23211
NC_053022.1,6600000,0.754476,0.540007,6900000,17515,17374,16695
NC_053022.1,6900000,0.634413,0.53343,7200000,8951,8984,8773
NC_053022.1,7200000,0.873675,0.54095,7500000,18200,18145,17452
NC_053022.1,7500000,0.772537,0.547427,7800000,8185,8139,7994
NC_053022.1,7800000,0.593352,0.539397,8100000,9133,9732,8551
NC_053022.1,8100000,0.580163,0.546507,8400000,58465,57335,53421
NC_053022.1,8400000,0.669778,0.547147,8700000,15425,15014,14409
NC_053022.1,8700000,0.927062,0.544467,9000000,9894,10011,9611
NC_053022.1,9000000,0.741246,0.536563,9300000,14711,14143,13969
NC_053022.1,9300000,0.512512,0.52632,9600000,15341,14206,14556
NC_053022.1,9600000,0.709834,0.51054,9900000,10818,10730,10301
NC_053022.1,9900000,0.577985,0.54525,10200000,14996,14389,14183
NC_053022.1,10200000,0.845895,0.53519,10500000,22004,21520,21300
NC_053022.1,10500000,0.88939,0.538747,10800000,20096,20135,19503
NC_053022.1,10800000,0.8016,0.527083,11100000,12738,11753,12063
NC_053022.1,11100000,0.927512,0.56331,11400000,18581,18525,18023
NC_053022.1,11400000,0.801341,0.542917,11700000,17614,17430,17216
NC_053022.1,11700000,0.823189,0.54779,12000000,13719,13455,12998
NC_053022.1,12000000,0.740029,0.53266,12300000,17055,16664,16465
NC_053022.1,12300000,0.404518,0.544703,12600000,8914,8749,8619
NC_053022.1,12600000,0.862962,0.549003,12900000,30774,30083,29533
NC_053022.1,12900000,0.757223,0.54696,13200000,22130,21740,21187
NC_053022.1,13200000,0.844367,0.550347,13500000,16701,17721,16020
NC_053022.1,13500000,0.704297,0.538997,13800000,15343,15002,14923
NC_053022.1,13800000,0.830986,0.552157,14100000,21600,21017,20689
NC_053022.1,14100000,0.787971,0.554877,14400000,15471,15047,14981
NC_053022.1,14400000,0.819467,0.536483,14700000,16923,16839,16269
NC_053022.1,14700000,0.638727,0.513497,15000000,282802,275603,270235
NC_053022.1,15000000,0.768092,0.532007,15300000,18757,18172,17880
NC_053022.1,15300000,0.579982,0.547357,15600000,18848,18528,17727
NC_053022.1,15600000,0.830441,0.536457,15900000,13205,13432,12886
NC_053022.1,15900000,0.755996,0.53879,16200000,16781,16624,15937
NC_053022.1,16200000,0.439561,0.54429,16500000,8713,8935,8576
NC_053022.1,16500000,0.787504,0.544193,16800000,18007,17404,17503
NC_053022.1,16800000,0.794882,0.550633,17100000,19069,18509,18099
NC_053022.1,17100000,0.840482,0.544483,17400000,10658,10291,9904
NC_053022.1,17400000,0.831206,0.546337,17700000,15307,14735,14542
NC_053022.1,17700000,0.755462,0.531967,18000000,18445,18492,17513
NC_053022.1,18000000,0.754312,0.541837,18300000,14776,14090,13830
NC_053022.1,18300000,0.837789,0.550357,18600000,21052,20463,19526
NC_053022.1,18600000,0.896306,0.54579,18900000,20026,19241,19081
NC_053022.1,18900000,0.925122,0.560507,19200000,18660,18439,18198
NC_053022.1,19200000,0.863223,0.54603,19500000,15739,15736,15215
NC_053022.1,19500000,0.816855,0.540287,19800000,15199,15050,14528
NC_053022.1,19800000,0.6506,0.540213,20100000,16853,16175,15835
NC_053022.1,20100000,0.932078,0.541467,20400000,25851,25833,24795
NC_053022.1,20400000,0.603363,0.548813,20700000,11990,11568,11182
NC_053022.1,20700000,0.825438,0.54034,21000000,17452,16954,16445
NC_053022.1,21000000,0.753536,0.556837,21300000,18828,18441,18120
NC_053022.1,21300000,0.923792,0.538817,21600000,19263,19553,19033
NC_053022.1,21600000,0.92205,0.538657,21900000,18086,17718,17005
NC_053022.1,21900000,0.682717,0.540663,22200000,14400,14131,13893
