chr,start,mappability,gc_content,end,NAT_X_SYN_004,NAT_X_SYN_042,NAT_X_SYN_044,NAT_X_SYN_051,NAT_X_SYN_054
LR999451.1,0,0.797279,0.48351,100000,3536,1952,3411,3554,2935
LR999451.1,100000,0.989993,0.60506,200000,2828,1266,3329,3021,2415
LR999451.1,200000,0.996757,0.63236,300000,2854,1328,3327,2543,2327
LR999451.1,300000,0.966492,0.63304,400000,2255,1020,2471,2076,1738
LR999451.1,400000,0.989522,0.64475,500000,2560,1043,3014,2602,2024
LR999451.1,500000,0.99699,0.65519,600000,2610,1107,2991,2723,2196
LR999451.1,600000,0.997029,0.63706,700000,3167,1082,2804,2716,2043
LR999451.1,700000,0.99228,0.63846,800000,3020,988,2921,2662,2139
LR999451.1,800000,0.998514,0.62234,900000,3293,762,2652,2289,2044
LR999451.1,900000,0.983655,0.62991,1000000,2954,1329,3430,3129,2577
LR999451.1,1000000,0.975674,0.64661,1100000,2747,1325,3030,2817,2159
LR999451.1,1100000,0.997795,0.6385,1200000,2856,1290,3260,2785,2422
LR999451.1,1200000,0.999438,0.62617,1300000,3121,1410,3230,3098,2465
LR999451.1,1300000,0.996088,0.64576,1400000,2596,1193,3002,2701,2265
LR999451.1,1400000,0.996679,0.64223,1500000,2692,1096,3063,2689,2204
LR999451.1,1500000,0.998675,0.61778,1600000,3072,1485,3614,3209,2768
LR999451.1,1600000,0.880672,0.6217,1700000,2594,1120,2999,2553,2165
LR999451.1,1700000,0.957364,0.65303,1800000,2491,1153,2935,2792,2172
LR999451.1,1800000,0.999105,0.624,1900000,6837,5208,9137,8267,7693
LR999451.1,1900000,0.993632,0.63531,2000000,3106,1258,3371,3149,2465
LR999451.1,2000000,0.997041,0.63034,2100000,3359,1416,3213,3154,2599
LR999451.1,2100000,0.999075,0.63284,2200000,2968,1426,3340,3200,2513
LR999451.1,2200000,0.993044,0.61895,2300000,3277,1513,3661,3260,2787
LR999451.1,2300000,0.999775,0.61713,2400000,3232,1932,4219,3737,3158
LR999451.1,2400000,0.996156,0.62159,2500000,3002,1812,3437,3211,2608
LR999451.1,2500000,0.997745,0.61987,2600000,10182,9779,10729,12260,11523
LR999451.1,2600000,0.99067,0.63275,2700000,2950,2305,3296,3205,2396
LR999451.1,2700000,0.983397,0.62122,2800000,2844,2468,3293,3044,2405
LR999451.1,2800000,0.913184,0.62149,2900000,3204,2624,3314,3390,2559
LR999451.1,2900000,0.993852,0.62671,3000000,3203,2778,3181,3314,2598
LR999451.1,3000000,0.999125,0.63232,3100000,3132,2541,3364,3171,2472
LR999451.1,3100000,1,0.63338,3200000,3004,2509,3514,3147,2578
LR999451.1,3200000,0.99983,0.63599,3300000,2936,2508,3386,2919,2478
LR999451.1,3300000,0.979786,0.63092,3400000,3017,2672,3323,3070,2524
LR999451.1,3400000,0.892804,0.62553,3500000,2429,2231,3064,2492,2061
LR999451.1,3500000,0.870848,0.61553,3600000,2614,2575,3087,2741,2468
LR999451.1,3600000,0.996611,0.64272,3700000,3063,2468,3087,3115,2375
LR999451.1,3700000,0.970983,0.62462,3800000,3346,2691,3475,3086,2737
LR999451.1,3800000,0.965591,0.62694,3900000,3005,2584,3255,2980,2503
LR999451.1,3900000,0.961406,0.6479,4000000,2633,2322,2926,2642,2247
LR999451.1,4000000,1,0.63887,4100000,3010,2207,3319,2785,2309
LR999451.1,4100000,1,0.62282,4200000,3067,2575,3386,2837,2518
LR999451.1,4200000,0.996039,0.64144,4300000,2793,2195,3030,2676,2257
LR999451.1,4300000,0.96359,0.63404,4400000,2668,2347,3235,2965,2445
LR999451.1,4400000,0.973767,0.65042,4500000,2321,1954,2703,2414,1889
LR999451.1,4500000,0.998575,0.63169,4600000,2783,2451,3136,2870,2406
