chr,start,mappability,gc_content,end,LL_RS2L_G1_1,LL_RS2L_G1_2,LL_RS2L_G1_3
chr1,0,0.888138,0.5897,20000,1552,889,1770
chr1,20000,0.985227,0.6346,40000,2084,1132,2154
chr1,40000,1,0.59835,60000,1793,944,1836
chr1,60000,1,0.61385,80000,1764,857,1772
chr1,80000,0.854617,0.6075,100000,1078,539,547
chr1,100000,0.958575,0.63505,120000,1925,1124,1255
chr1,120000,0.967675,0.61445,140000,1910,1403,1387
chr1,140000,0.60577,0.55125,160000,761,445,489
chr1,160000,0.941482,0.57935,180000,1365,717,727
chr1,180000,0.960599,0.62255,200000,1803,932,977
chr1,200000,1,0.61405,220000,1727,924,911
chr1,220000,1,0.5995,240000,1531,835,829
chr1,240000,0.985675,0.6549,260000,2215,1143,1197
chr1,260000,0.856845,0.6184,280000,1650,895,846
chr1,280000,0.97701,0.6349,300000,2106,1105,1108
chr1,300000,1,0.6433,320000,2351,1376,1346
chr1,320000,0.983475,0.62855,340000,2082,1077,1163
chr1,340000,1,0.6512,360000,2341,1216,1242
chr1,360000,0.996142,0.63275,380000,2056,1118,1145
chr1,380000,0.99478,0.63445,400000,2167,1128,1113
chr1,400000,1,0.63155,420000,2079,1055,1219
chr1,420000,0.979047,0.6365,440000,2087,1159,1158
chr1,440000,1,0.62695,460000,2006,1170,1062
chr1,460000,0.976387,0.67095,480000,2471,1203,1368
chr1,480000,1,0.6493,500000,2237,1132,1205
chr1,500000,0.989575,0.6728,520000,2531,1307,1424
chr1,520000,1,0.63365,540000,1978,1101,1076
chr1,540000,0.9939,0.6757,560000,2419,1250,1364
chr1,560000,1,0.63555,580000,2089,1124,1096
chr1,580000,0.998825,0.6614,600000,1408,231,177
chr1,600000,1,0.64715,620000,1116,12,4
chr1,620000,0.961726,0.66545,640000,1145,19,3
chr1,640000,0.9855,0.66115,660000,1236,63,48
chr1,660000,0.9997,0.6939,680000,1339,27,14
chr1,680000,0.98315,0.61725,700000,1020,72,40
chr1,700000,0.992376,0.65695,720000,1135,10,4
chr1,720000,0.902693,0.6354,740000,963,21,23
chr1,740000,0.970437,0.63115,760000,949,23,6
chr1,760000,0.995267,0.62465,780000,995,37,17
chr1,780000,0.9983,0.64255,800000,1141,15,4
chr1,800000,1,0.62765,820000,1086,19,9
chr1,820000,0.99775,0.65045,840000,1191,126,109
chr1,840000,0.99975,0.6361,860000,1718,860,602
chr1,860000,1,0.62885,880000,754,41,22
chr1,880000,0.995715,0.6377,900000,964,14,10
chr1,900000,0.91591,0.6011,920000,655,4,4
chr1,920000,0.956583,0.64525,940000,1044,19,6
chr1,940000,0.993843,0.63155,960000,1005,20,12
chr1,960000,1,0.65495,980000,1100,19,8
chr1,980000,0.973967,0.6368,1000000,1034,46,21
chr1,1000000,0.972458,0.64005,1020000,1057,149,62
chr1,1020000,1,0.60405,1040000,881,23,10
chr1,1040000,1,0.61005,1060000,931,7,7
chr1,1060000,0.99895,0.6498,1080000,1202,24,9
chr1,1080000,0.95595,0.5927,1100000,816,95,22
chr1,1100000,1,0.6476,1120000,1155,88,111
chr1,1120000,0.946912,0.6981,1140000,1911,709,699
chr1,1140000,0.931582,0.6439,1160000,950,18,9
chr1,1160000,0.880895,0.64595,1180000,907,14,6
chr1,1180000,1,0.6326,1200000,1005,15,9
chr1,1200000,0.928266,0.6233,1220000,938,11,4
chr1,1220000,0.982925,0.7311,1240000,1689,35,8
chr1,1240000,0.991533,0.64635,1260000,1064,21,8
chr1,1260000,0.946717,0.65585,1280000,1035,39,18
chr1,1280000,0.945343,0.6241,1300000,910,22,18
chr1,1300000,0.997058,0.6388,1320000,1109,31,15
chr1,1320000,1,0.613,1340000,856,7,4
chr1,1340000,1,0.6053,1360000,894,13,2
chr1,1360000,0.998533,0.6193,1380000,936,18,9
chr1,1380000,0.983,0.6404,1400000,1042,129,96
chr1,1400000,1,0.6385,1420000,1121,67,42
chr1,1420000,1,0.6678,1440000,1209,19,10
chr1,1440000,1,0.64285,1460000,1085,16,8
chr1,1460000,0.972457,0.64365,1480000,1242,171,130
chr1,1480000,0.983729,0.6349,1500000,998,14,4
chr1,1500000,0.99895,0.6477,1520000,1175,27,5
chr1,1520000,0.988272,0.6464,1540000,1084,31,16
chr1,1540000,0.981019,0.63775,1560000,1025,19,13
chr1,1560000,0.980221,0.6337,1580000,1203,482,352
chr1,1580000,0.9943,0.6366,1600000,1064,36,10
chr1,1600000,1,0.63955,1620000,1057,10,2
chr1,1620000,1,0.6432,1640000,1179,68,43
chr1,1640000,0.968234,0.63845,1660000,1100,83,79
chr1,1660000,1,0.6204,1680000,938,7,4
chr1,1680000,1,0.621,1700000,975,28,17
chr1,1700000,1,0.61595,1720000,930,22,6
chr1,1720000,0.996075,0.6421,1740000,1123,8,7
chr1,1740000,1,0.60795,1760000,908,13,4
chr1,1760000,0.9971,0.6292,1780000,983,14,9
chr1,1780000,1,0.6396,1800000,1066,23,15
chr1,1800000,1,0.61995,1820000,882,15,4
chr1,1820000,0.887854,0.6519,1840000,850,43,30
chr1,1840000,0.973615,0.6133,1860000,1002,193,92
chr1,1860000,1,0.63435,1880000,957,7,3
chr1,1880000,0.918805,0.66955,1900000,1225,65,23
chr1,1900000,0.996579,0.66465,1920000,1185,40,12
chr1,1920000,0.998025,0.63875,1940000,2277,1297,1156
chr1,1940000,1,0.6545,1960000,1464,773,496
chr1,1960000,0.978575,0.633,1980000,956,11,6
chr1,1980000,0.99571,0.62845,2000000,1040,64,16
chr1,2000000,0.983437,0.6495,2020000,1075,56,11
chr1,2020000,1,0.6121,2040000,789,3,5
chr1,2040000,1,0.62155,2060000,895,10,6
chr1,2060000,0.990833,0.6287,2080000,919,24,16
chr1,2080000,0.983575,0.63745,2100000,2052,753,514
chr1,2100000,0.987253,0.64645,2120000,1118,41,30
chr1,2120000,0.869517,0.6146,2140000,863,35,27
chr1,2140000,1,0.65725,2160000,1216,11,5
chr1,2160000,0.990775,0.63725,2180000,1051,10,2
chr1,2180000,0.999025,0.6137,2200000,953,35,28
chr1,2200000,0.982908,0.6372,2220000,1032,46,58
chr1,2220000,1,0.6144,2240000,894,14,2
chr1,2240000,1,0.61985,2260000,1012,12,4
chr1,2260000,0.9992,0.65645,2280000,1112,53,36
chr1,2280000,0.972041,0.626,2300000,988,21,17
chr1,2300000,0.9963,0.68735,2320000,1348,81,20
chr1,2320000,0.99586,0.62875,2340000,1097,203,108
chr1,2340000,1,0.6285,2360000,1073,60,23
chr1,2360000,1,0.6214,2380000,914,11,3
chr1,2380000,0.994058,0.6444,2400000,1034,11,9
chr1,2400000,1,0.5986,2420000,848,12,2
chr1,2420000,0.997204,0.628,2440000,914,12,7
chr1,2440000,1,0.6339,2460000,1021,13,6
chr1,2460000,0.952976,0.6114,2480000,947,91,104
chr1,2480000,0.997325,0.621,2500000,975,17,1
chr1,2500000,1,0.6147,2520000,876,13,9
chr1,2520000,1,0.60985,2540000,871,10,0
chr1,2540000,0.99925,0.61285,2560000,1048,7,2
chr1,2560000,0.98785,0.62465,2580000,983,23,5
chr1,2580000,0.9926,0.6112,2600000,858,250,124
chr1,2600000,1,0.62895,2620000,1144,8,10
chr1,2620000,0.910974,0.60085,2640000,836,104,65
chr1,2640000,0.979333,0.6179,2660000,1072,75,26
chr1,2660000,0.94095,0.6396,2680000,932,11,9
chr1,2680000,0.996272,0.6279,2700000,1015,28,9
chr1,2700000,0.89524,0.654,2720000,1028,40,38
chr1,2720000,0.985136,0.60685,2740000,851,22,7
chr1,2740000,0.966076,0.61565,2760000,993,23,19
chr1,2760000,0.976203,0.59955,2780000,938,47,43
chr1,2780000,1,0.6038,2800000,859,10,4
chr1,2800000,0.99595,0.63235,2820000,1019,28,4
chr1,2820000,0.976615,0.6403,2840000,1168,21,7
chr1,2840000,0.97705,0.62025,2860000,939,14,4
chr1,2860000,0.97475,0.6177,2880000,1074,98,33
chr1,2880000,1,0.631,2900000,985,12,2
chr1,2900000,1,0.63945,2920000,1085,16,2
chr1,2920000,0.99375,0.63295,2940000,1083,219,150
chr1,2940000,0.999737,0.63165,2960000,999,20,8
chr1,2960000,0.988366,0.6417,2980000,1137,18,12
chr1,2980000,0.988883,0.5952,3000000,1530,943,657
chr1,3000000,0.9821,0.6358,3020000,1339,350,257
chr1,3020000,0.827071,0.64745,3040000,972,191,118
chr1,3040000,0.838407,0.61295,3060000,696,142,94
chr1,3060000,1,0.6273,3080000,991,15,3
chr1,3080000,1,0.6078,3100000,889,20,11
chr1,3100000,0.970205,0.65295,3120000,1137,17,7
chr1,3120000,0.914381,0.61505,3140000,976,144,212
chr1,3140000,0.953277,0.62125,3160000,1117,267,259
chr1,3160000,0.980967,0.63685,3180000,997,35,19
chr1,3180000,1,0.6246,3200000,935,12,4
chr1,3200000,1,0.6259,3220000,923,11,1
chr1,3220000,0.911317,0.6469,3240000,940,11,3
chr1,3240000,1,0.63885,3260000,1055,39,8
chr1,3260000,0.996968,0.62265,3280000,899,21,18
chr1,3280000,0.968102,0.6527,3300000,1099,14,15
chr1,3300000,0.992472,0.6375,3320000,1254,502,167
chr1,3320000,1,0.6187,3340000,983,1126,16
chr1,3340000,0.989912,0.63885,3360000,1800,1602,697
chr1,3360000,1,0.6331,3380000,925,987,5
chr1,3380000,0.99545,0.66145,3400000,1203,1206,11
chr1,3400000,1,0.61065,3420000,887,1077,34
chr1,3420000,1,0.61165,3440000,910,1077,3
chr1,3440000,1,0.6346,3460000,996,1100,4
chr1,3460000,1,0.6483,3480000,1049,1013,3
chr1,3480000,0.995392,0.6559,3500000,1089,1042,4
