chr,start,mappability,gc_content,end,sample_H,sample_I,sample_J
NC_053035.3,0,0.962717,0.54684,300000,21138,20322,20602
NC_053035.3,300000,0.924929,0.546467,600000,22999,22341,21945
NC_053035.3,600000,0.901278,0.55139,900000,32171,31877,30852
NC_053035.3,900000,0.91118,0.547503,1200000,10567,10463,10202
NC_053035.3,1200000,0.946055,0.548403,1500000,3528,3362,3070
NC_053035.3,1500000,0.931233,0.539577,1800000,8082,7943,7627
NC_053035.3,1800000,0.838038,0.54925,2100000,16992,16755,16826
NC_053035.3,2100000,0.951476,0.545,2400000,14822,14893,14309
NC_053035.3,2400000,0.50559,0.542243,2700000,9157,8547,9312
NC_053035.3,2700000,0.918956,0.541873,3000000,12131,11785,11717
NC_053035.3,3000000,0.71705,0.538427,3300000,12527,13507,12946
NC_053035.3,3300000,0.920861,0.530017,3600000,17358,17515,17151
NC_053035.3,3600000,0.932541,0.545077,3900000,18625,18204,18079
NC_053035.3,3900000,0.884165,0.56283,4200000,23060,22925,22297
NC_053035.3,4200000,0.957383,0.54732,4500000,16399,15752,15701
NC_053035.3,4500000,0.939761,0.562203,4800000,13853,13655,13472
NC_053035.3,4800000,0.906476,0.530543,5100000,11939,11496,11482
NC_053035.3,5100000,0.918883,0.554793,5400000,17455,17409,16953
NC_053035.3,5400000,0.926111,0.553007,5700000,15073,14727,14637
NC_053035.3,5700000,0.915288,0.54825,6000000,18358,18869,18398
NC_053035.3,6000000,0.925872,0.54996,6300000,20631,20200,19844
NC_053035.3,6300000,0.876124,0.55462,6600000,21881,21421,20905
NC_053035.3,6600000,0.932602,0.552577,6900000,21886,21584,21625
NC_053035.3,6900000,0.813569,0.548763,7200000,15098,14330,14165
NC_053035.3,7200000,0.893565,0.558383,7500000,17451,16895,16729
NC_053035.3,7500000,0.884975,0.538493,7800000,13787,13136,12834
NC_053035.3,7800000,0.907307,0.552733,8100000,16489,16459,16146
NC_053035.3,8100000,0.8629,0.55213,8400000,13110,12651,12828
NC_053035.3,8400000,0.912578,0.542073,8700000,16094,16300,15909
NC_053035.3,8700000,0.909003,0.552793,9000000,16721,16602,16212
NC_053035.3,9000000,0.88665,0.55103,9300000,5853,5754,5709
NC_053035.3,9300000,0.851171,0.542917,9600000,9216,9293,9110
NC_053035.3,9600000,0.880993,0.552573,9900000,15949,15583,15163
NC_053035.3,9900000,0.895782,0.555753,10200000,16167,16170,17537
NC_053035.3,10200000,0.921277,0.54441,10500000,20172,20037,19698
NC_053035.3,10500000,0.93935,0.533617,10800000,16648,16923,16317
NC_053035.3,10800000,0.919423,0.543697,11100000,17961,17666,17121
NC_053035.3,11100000,0.847489,0.536357,11400000,18097,17184,17313
NC_053035.3,11400000,0.825769,0.552037,11700000,19070,19138,18993
NC_053035.3,11700000,0.908097,0.552147,12000000,21859,21238,21085
NC_053035.3,12000000,0.859141,0.54902,12300000,14625,14202,13919
NC_053035.3,12300000,0.860439,0.564927,12600000,16859,16113,15850
NC_053035.3,12600000,0.497621,0.62239,12900000,8313,8227,8258
NC_053035.3,12900000,0.591343,0.59464,13200000,18650,17845,18802
NC_053035.3,13200000,0.662789,0.451063,13500000,16875,17619,17310
NC_053035.3,13500000,0.745346,0.554327,13800000,5410,5526,5396
NC_053035.3,13800000,0.685832,0.561963,14100000,31766,30385,32193
NC_053035.3,14100000,0.792698,0.558377,14400000,13690,13640,13570
NC_053035.3,14400000,0.940543,0.55402,14700000,13935,14043,13401
NC_053035.3,14700000,0.899762,0.53663,15000000,14941,14418,14924
NC_053035.3,15000000,0.945748,0.54911,15300000,17563,17162,16760
NC_053035.3,15300000,0.932957,0.521483,15600000,16847,16187,16087
NC_053035.3,15600000,0.9241,0.534637,15900000,16734,15671,15808
NC_053035.3,15900000,0.823657,0.554903,16200000,6726,6916,6598
NC_053035.3,16200000,0.686278,0.55188,16500000,6456,6434,6158
NC_053035.3,16500000,0.779776,0.552393,16800000,9798,9623,9264
NC_053035.3,16800000,0.9057,0.55492,17100000,15636,14892,15126
NC_053035.3,17100000,0.763284,0.561297,17400000,19500,19236,19066
NC_053035.3,17400000,0.610982,0.54633,17700000,17582,17560,17122
NC_053035.3,17700000,0.612781,0.574907,18000000,6727,6396,7264
NC_053035.3,18000000,0.479967,0.592183,18300000,2764,2674,3124
NC_053035.3,18300000,0.541688,0.59184,18600000,3669,3340,3854
NC_053035.3,18600000,0.491211,0.590283,18900000,6078,5424,6401
NC_053035.3,18900000,0.813974,0.542663,19200000,8810,8559,8663
NC_053035.3,19200000,0.919486,0.54475,19500000,12317,12236,12024
NC_053035.3,19500000,0.953143,0.549383,19800000,13086,13127,12590
NC_053035.3,19800000,0.905935,0.560457,20100000,10919,10665,10267
NC_053035.3,20100000,0.725918,0.534163,20400000,8859,8569,8673
NC_053035.3,20400000,0.93111,0.56189,20700000,20346,19741,19539
NC_053035.3,20700000,0.917258,0.542427,21000000,14791,14499,14251
NC_053035.3,21000000,0.915311,0.548693,21300000,17030,16402,15947
NC_053035.3,21300000,0.923838,0.56767,21600000,13779,13316,13145
NC_053035.3,21600000,0.863494,0.55143,21900000,7162,7208,7097
NC_053035.3,21900000,0.895748,0.552393,22200000,13450,13056,12960
NC_053035.3,22200000,0.929098,0.55428,22500000,9972,9672,9888
NC_053035.3,22500000,0.906504,0.50692,22800000,11080,10461,10411
NC_053035.3,22800000,0.891506,0.5516,23100000,31097,30647,29981
NC_053035.3,23100000,0.859144,0.533973,23400000,29742,30084,29810
NC_053035.3,23400000,0.944591,0.549627,23700000,18795,18519,18112
NC_053035.3,23700000,0.928184,0.553423,24000000,17360,16907,16772
NC_053035.3,24000000,0.640512,0.592667,24300000,52303,52869,51541
NC_053035.3,24300000,0.877631,0.543973,24600000,21561,21918,21147
NC_053035.3,24600000,0.907228,0.527983,24900000,15942,16090,14986
