chr,start,mappability,gc_content,end,LL_RS2L_G1_1,LL_RS2L_G1_2,LL_RS2L_G1_3
chr1,0,0.78986,0.5989,10000,706,393,881
chr1,10000,0.986417,0.5805,20000,858,499,907
chr1,20000,0.971304,0.6476,30000,1089,608,1167
chr1,30000,0.99915,0.6216,40000,1036,546,1051
chr1,40000,1,0.5754,50000,787,447,796
chr1,50000,1,0.6213,60000,1014,502,1062
chr1,60000,1,0.6167,70000,874,421,935
chr1,70000,1,0.611,80000,908,454,863
chr1,80000,0.799917,0.6258,90000,418,213,208
chr1,90000,0.909317,0.5892,100000,660,326,339
chr1,100000,0.9271,0.6102,110000,691,437,472
chr1,110000,0.99005,0.6599,120000,1246,692,795
chr1,120000,0.93535,0.6069,130000,1041,925,914
chr1,130000,1,0.622,140000,884,492,497
chr1,140000,0.773111,0.5367,150000,452,284,291
chr1,150000,0.43843,0.5658,160000,314,165,209
chr1,160000,0.882964,0.5679,170000,566,308,307
chr1,170000,1,0.5908,180000,810,415,431
chr1,180000,0.9721,0.641,190000,996,522,562
chr1,190000,0.949099,0.6041,200000,821,420,427
chr1,200000,1,0.6197,210000,884,447,497
chr1,210000,1,0.6084,220000,855,485,417
chr1,220000,1,0.6053,230000,723,394,431
chr1,230000,1,0.5937,240000,824,448,407
chr1,240000,0.97135,0.6578,250000,1151,613,621
chr1,250000,1,0.652,260000,1092,537,593
chr1,260000,1,0.6336,270000,1077,611,554
chr1,270000,0.71369,0.6032,280000,598,296,302
chr1,280000,0.95447,0.6206,290000,891,499,463
chr1,290000,0.99955,0.6492,300000,1241,616,666
chr1,300000,1,0.6495,310000,1071,582,574
chr1,310000,1,0.6371,320000,1315,804,780
chr1,320000,0.96695,0.6244,330000,1000,558,569
chr1,330000,1,0.6327,340000,1104,533,601
chr1,340000,1,0.6569,350000,1193,608,672
chr1,350000,1,0.6455,360000,1169,617,589
chr1,360000,1,0.6213,370000,994,515,497
chr1,370000,0.992283,0.6442,380000,1083,611,663
chr1,380000,1,0.6154,390000,1041,582,532
chr1,390000,0.98956,0.6535,400000,1149,563,600
chr1,400000,1,0.6405,410000,1175,576,675
chr1,410000,1,0.6226,420000,947,489,572
chr1,420000,1,0.6088,430000,996,575,496
chr1,430000,0.958094,0.6642,440000,1144,613,700
chr1,440000,1,0.6435,450000,1106,624,558
chr1,450000,1,0.6104,460000,923,554,513
chr1,460000,0.952875,0.6797,470000,1271,599,688
chr1,470000,0.9999,0.6622,480000,1235,613,703
chr1,480000,1,0.6616,490000,1205,628,666
chr1,490000,1,0.637,500000,1047,520,552
chr1,500000,0.98635,0.6664,510000,1243,653,693
chr1,510000,0.9928,0.6792,520000,1302,665,738
chr1,520000,1,0.6244,530000,916,493,473
chr1,530000,1,0.6429,540000,1080,615,617
chr1,540000,1,0.6681,550000,1189,639,678
chr1,550000,0.9878,0.6833,560000,1252,622,699
chr1,560000,1,0.6641,570000,1231,639,639
chr1,570000,1,0.607,580000,877,494,475
chr1,580000,1,0.6331,590000,516,11,3
chr1,590000,0.99765,0.6897,600000,904,220,175
chr1,600000,1,0.6479,610000,561,6,1
chr1,610000,1,0.6464,620000,561,6,3
chr1,620000,0.925652,0.671,630000,581,4,2
chr1,630000,0.9978,0.6599,640000,573,16,1
chr1,640000,0.971,0.681,650000,669,54,41
chr1,650000,1,0.6413,660000,577,9,7
chr1,660000,1,0.6956,670000,679,8,3
chr1,670000,0.9994,0.6922,680000,677,19,11
chr1,680000,0.98055,0.6394,690000,548,14,4
chr1,690000,0.98575,0.5951,700000,480,58,36
chr1,700000,0.984752,0.6495,710000,555,9,2
chr1,710000,1,0.6644,720000,592,1,2
chr1,720000,0.913106,0.6543,730000,561,20,21
chr1,730000,0.89228,0.6165,740000,418,1,2
chr1,740000,1,0.6121,750000,467,12,4
chr1,750000,0.940875,0.6502,760000,501,11,2
chr1,760000,0.990533,0.6354,770000,559,26,13
chr1,770000,1,0.6139,780000,453,12,5
chr1,780000,1,0.6519,790000,594,10,4
chr1,790000,0.9966,0.6332,800000,557,5,0
chr1,800000,1,0.6265,810000,580,13,6
chr1,810000,1,0.6288,820000,510,6,3
chr1,820000,0.9955,0.6632,830000,689,118,102
chr1,830000,1,0.6377,840000,513,8,7
chr1,840000,1,0.6341,850000,790,169,156
chr1,850000,0.9995,0.6381,860000,938,692,446
chr1,860000,1,0.6364,870000,353,37,21
chr1,870000,1,0.6213,880000,415,4,2
chr1,880000,0.991429,0.6589,890000,514,11,8
chr1,890000,1,0.6165,900000,459,3,2
chr1,900000,1,0.5975,910000,370,2,0
chr1,910000,0.831819,0.6047,920000,287,3,4
chr1,920000,0.917767,0.663,930000,526,9,3
chr1,930000,0.9954,0.6275,940000,524,10,3
chr1,940000,0.987687,0.6336,950000,527,11,7
chr1,950000,1,0.6295,960000,491,9,5
chr1,960000,1,0.6345,970000,546,5,3
chr1,970000,1,0.6754,980000,563,14,5
chr1,980000,0.960333,0.6607,990000,590,18,6
chr1,990000,0.9876,0.6129,1000000,458,32,17
chr1,1000000,0.944917,0.6452,1010000,537,66,25
chr1,1010000,1,0.6349,1020000,538,107,49
chr1,1020000,1,0.6038,1030000,425,13,7
chr1,1030000,1,0.6043,1040000,464,10,3
chr1,1040000,1,0.5974,1050000,440,6,5
chr1,1050000,1,0.6227,1060000,496,1,2
chr1,1060000,1,0.6434,1070000,570,10,6
chr1,1070000,0.9979,0.6562,1080000,649,14,3
chr1,1080000,0.9119,0.5955,1090000,376,86,21
chr1,1090000,1,0.5899,1100000,448,11,1
chr1,1100000,1,0.6414,1110000,622,80,107
chr1,1110000,1,0.6538,1120000,541,8,4
chr1,1120000,0.979274,0.6735,1130000,1276,696,695
chr1,1130000,0.91455,0.7227,1140000,680,14,4
chr1,1140000,1,0.65,1150000,539,9,8
chr1,1150000,0.863165,0.6378,1160000,431,10,1
chr1,1160000,0.76179,0.6585,1170000,409,9,5
chr1,1170000,1,0.6334,1180000,509,6,1
chr1,1180000,1,0.617,1190000,449,6,7
chr1,1190000,1,0.6482,1200000,564,9,2
chr1,1200000,0.858232,0.6287,1210000,461,6,2
chr1,1210000,0.9983,0.6179,1220000,485,5,2
chr1,1220000,0.9973,0.6729,1230000,632,24,3
chr1,1230000,0.96855,0.7893,1240000,1074,11,5
chr1,1240000,0.999467,0.6617,1250000,574,8,4
chr1,1250000,0.9836,0.631,1260000,502,13,4
chr1,1260000,0.953483,0.6825,1270000,624,28,14
