chr,start,mappability,gc_content,end,LL_RS2L_G1_1,LL_RS2L_G1_2,LL_RS2L_G1_3
chr1,0,0.746601,0.58805,20000,1900,2977,2479
chr1,20000,1,0.5914,40000,1681,2859,1917
chr1,40000,1,0.59945,60000,1638,2688,1756
chr1,60000,0.853838,0.6343,80000,1418,2036,1447
chr1,80000,0.92555,0.58985,100000,1390,2203,2033
chr1,100000,0.917584,0.63165,120000,1429,2079,2486
chr1,120000,0.930242,0.59895,140000,1510,2180,2602
chr1,140000,0.995396,0.59285,160000,1565,2613,2493
chr1,160000,0.993975,0.5966,180000,1584,2557,2606
chr1,180000,0.994887,0.62375,200000,1928,2947,3070
chr1,200000,1,0.59895,220000,1495,2428,2459
chr1,220000,0.990375,0.64915,240000,2354,3437,3584
chr1,240000,0.940738,0.63195,260000,1797,3005,2984
chr1,260000,0.962425,0.6117,280000,1675,2728,2715
chr1,280000,0.942304,0.63695,300000,1885,2788,3293
chr1,300000,0.987891,0.67015,320000,2513,3513,4189
chr1,320000,0.997667,0.6255,340000,2093,3232,3397
chr1,340000,1,0.64365,360000,2339,3494,3808
chr1,360000,0.999144,0.6574,380000,2433,3561,3709
chr1,380000,0.81864,0.61675,400000,1623,2316,2719
chr1,400000,0.966195,0.65755,420000,2138,3122,3482
chr1,420000,0.971133,0.6216,440000,1899,3075,3115
chr1,440000,1,0.6282,460000,1938,3027,3239
chr1,460000,0.995684,0.6324,480000,2145,3310,3452
chr1,480000,0.97762,0.6379,500000,2152,3326,3437
chr1,500000,0.91955,0.6569,520000,2186,3244,3666
chr1,520000,0.995899,0.65205,540000,2318,3335,3773
chr1,540000,0.98208,0.6722,560000,2537,3762,4200
chr1,560000,0.989524,0.6379,580000,2011,2980,3340
chr1,580000,0.980771,0.63615,600000,1969,3223,3392
chr1,600000,0.980442,0.69085,620000,2671,3765,4335
chr1,620000,0.920926,0.65855,640000,2892,3840,4376
chr1,640000,0.892129,0.63535,660000,2618,3632,4104
chr1,660000,0.999775,0.6499,680000,3421,4694,4723
chr1,680000,0.998261,0.6517,700000,3329,4514,4701
chr1,700000,0.928666,0.67915,720000,3419,4463,5116
chr1,720000,0.99895,0.6679,740000,3727,4816,5149
chr1,740000,0.986638,0.61155,760000,2910,4069,4145
chr1,760000,0.995074,0.67685,780000,3788,4944,5553
chr1,780000,0.995525,0.6271,800000,3141,4199,4541
chr1,800000,0.997518,0.6393,820000,3129,4214,4518
chr1,820000,0.999217,0.6251,840000,2965,4144,4387
chr1,840000,0.942868,0.65305,860000,2996,3953,4345
chr1,860000,0.961811,0.64125,880000,3174,4149,4589
chr1,880000,0.996121,0.653,900000,3488,4710,5022
chr1,900000,0.996712,0.6493,920000,3244,4207,4667
chr1,920000,0.852041,0.65685,940000,2673,3522,3874
chr1,940000,0.87115,0.59985,960000,2120,2768,3057
chr1,960000,0.96355,0.6311,980000,2152,2759,3279
